blockNumber,errCode,from,gas,gasUsed,timeStamp,epoch,traceId,type,budget_Ether,budget_USD,Ether_to_USD,token_price_Ether,token_price_USD,marketCap_Ether,marketCap_USD_Million
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,29.0,1454.205,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,10.0,501.44999999999993,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,109.0,5465.804999999999,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,1000.0,50144.99999999999,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,350.0,17550.75,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,400.0,20058.0,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,10.0,501.44999999999993,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593279,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:53,1493053253,0,call,450.0,22565.25,50.144999999999996,0.5414510889183011,27.151064853808204,5414510.889183011,271.5106485380821
3593279,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:53,1493053253,0,call,61.0,3058.845,50.144999999999996,0.5414510889183011,27.151064853808204,5414510.889183011,271.5106485380821
3593279,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:53,1493053253,0,call,10.0,501.44999999999993,50.144999999999996,0.5414510889183011,27.151064853808204,5414510.889183011,271.5106485380821
3593279,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:53,1493053253,0,call,25.0,1253.625,50.144999999999996,0.5414510889183011,27.151064853808204,5414510.889183011,271.5106485380821
